StartTime: 2021-03-01 16:41:04.708
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 16:41:04.708	 2021-03-01 16:41:04.845	-0.1646	-0.1509	1.0034	-0.1221	0.1221	0.0000	-8.4760	9.2230	-145.6952	35.89	-131	-193	-140
0x50	 16:41:04.708	 2021-03-01 16:41:04.850	-0.1646	-0.1509	1.0034	-0.1221	0.1221	0.0000	-8.4760	9.2230	-145.6897	35.89	-132	-193	-139
0x50	 16:41:04.708	 2021-03-01 16:41:04.855	-0.1646	-0.1509	1.0034	-0.1221	0.1221	0.0000	-8.4760	9.2230	-145.6897	35.89	-132	-193	-139
0x50	 16:41:04.710	 2021-03-01 16:41:04.860	-0.1646	-0.1509	1.0034	-0.1221	0.1221	0.0000	-8.4814	9.2230	-145.6897	35.89	-133	-194	-139
0x50	 16:41:04.715	 2021-03-01 16:41:04.865	-0.1646	-0.1509	1.0039	0.0610	0.0000	0.0000	-8.4814	9.2230	-145.6842	35.87	-132	-193	-140
0x50	 16:41:04.720	 2021-03-01 16:41:04.870	-0.1646	-0.1509	1.0039	0.0610	0.0000	0.0000	-8.4814	9.2230	-145.6842	35.87	-132	-193	-141
0x50	 16:41:04.725	 2021-03-01 16:41:04.875	-0.1646	-0.1509	1.0039	0.0610	0.0000	0.0000	-8.4814	9.2230	-145.6842	35.87	-132	-192	-141
0x50	 16:41:04.730	 2021-03-01 16:41:04.880	-0.1646	-0.1509	1.0039	0.0610	0.0000	0.0000	-8.4814	9.2230	-145.6787	35.87	-132	-192	-141
0x50	 16:41:04.735	 2021-03-01 16:41:04.885	-0.1660	-0.1494	1.0054	0.0000	0.0000	0.0000	-8.4814	9.2230	-145.6787	35.84	-132	-192	-141
0x50	 16:41:04.739	 2021-03-01 16:41:04.890	-0.1660	-0.1494	1.0054	0.0000	0.0000	0.0000	-8.4814	9.2230	-145.6732	35.84	-132	-193	-141
0x50	 16:41:04.745	 2021-03-01 16:41:04.895	-0.1660	-0.1494	1.0054	0.0000	0.0000	0.0000	-8.4814	9.2230	-145.6732	35.84	-132	-193	-141
0x50	 16:41:04.750	 2021-03-01 16:41:04.900	-0.1660	-0.1494	1.0054	0.0000	0.0000	0.0000	-8.4814	9.2230	-145.6732	35.84	-132	-193	-141
0x50	 16:41:04.755	 2021-03-01 16:41:04.905	-0.1660	-0.1499	1.0039	0.0000	0.0610	0.0000	-8.4814	9.2230	-145.6732	35.88	-131	-194	-141
0x50	 16:41:04.759	 2021-03-01 16:41:04.910	-0.1660	-0.1499	1.0039	0.0000	0.0610	0.0000	-8.4814	9.2230	-145.6677	35.88	-131	-194	-142
0x50	 16:41:04.764	 2021-03-01 16:41:04.915	-0.1660	-0.1499	1.0039	0.0000	0.0610	0.0000	-8.4814	9.2230	-145.6677	35.88	-131	-194	-141
0x50	 16:41:04.769	 2021-03-01 16:41:04.920	-0.1660	-0.1499	1.0039	0.0000	0.0610	0.0000	-8.4814	9.2285	-145.6677	35.88	-131	-194	-141
0x50	 16:41:04.774	 2021-03-01 16:41:04.925	-0.1655	-0.1494	1.0049	0.0000	0.0610	-0.1221	-8.4814	9.2285	-145.6677	35.88	-131	-194	-141
0x50	 16:41:04.779	 2021-03-01 16:41:04.930	-0.1655	-0.1494	1.0049	0.0000	0.0610	-0.1221	-8.4814	9.2285	-145.6677	35.88	-131	-194	-141
0x50	 16:41:04.784	 2021-03-01 16:41:04.935	-0.1655	-0.1494	1.0049	0.0000	0.0610	-0.1221	-8.4814	9.2285	-145.6677	35.88	-130	-194	-142
0x50	 16:41:04.789	 2021-03-01 16:41:04.940	-0.1655	-0.1494	1.0049	0.0000	0.0610	-0.1221	-8.4814	9.2285	-145.6677	35.88	-130	-194	-142
0x50	 16:41:04.794	 2021-03-01 16:41:04.945	-0.1660	-0.1494	1.0044	0.0000	0.0000	0.0000	-8.4814	9.2285	-145.6677	35.83	-131	-193	-142
0x50	 16:41:04.799	 2021-03-01 16:41:04.950	-0.1660	-0.1494	1.0044	0.0000	0.0000	0.0000	-8.4814	9.2285	-145.6622	35.83	-132	-193	-142
0x50	 16:41:04.804	 2021-03-01 16:41:04.955	-0.1660	-0.1494	1.0044	0.0000	0.0000	0.0000	-8.4814	9.2285	-145.6622	35.83	-133	-192	-142
0x50	 16:41:04.809	 2021-03-01 16:41:04.960	-0.1660	-0.1494	1.0044	0.0000	0.0000	0.0000	-8.4814	9.2285	-145.6567	35.83	-133	-192	-142
0x50	 16:41:04.814	 2021-03-01 16:41:04.965	-0.1641	-0.1499	1.0029	0.0000	0.0000	0.0000	-8.4814	9.2285	-145.6567	35.89	-133	-193	-142
0x50	 16:41:04.819	 2021-03-01 16:41:04.970	-0.1641	-0.1499	1.0029	0.0000	0.0000	0.0000	-8.4814	9.2285	-145.6512	35.89	-134	-191	-142
0x50	 16:41:04.826	 2021-03-01 16:41:04.975	-0.1641	-0.1499	1.0029	0.0000	0.0000	0.0000	-8.4814	9.2285	-145.6458	35.89	-134	-190	-142
0x50	 16:41:04.829	 2021-03-01 16:41:04.980	-0.1641	-0.1499	1.0029	0.0000	0.0000	0.0000	-8.4814	9.2285	-145.6458	35.89	-133	-191	-142
0x50	 16:41:04.834	 2021-03-01 16:41:04.985	-0.1646	-0.1489	1.0054	0.0000	0.0610	0.0000	-8.4814	9.2285	-145.6403	35.85	-133	-192	-141
0x50	 16:41:04.839	 2021-03-01 16:41:04.990	-0.1646	-0.1489	1.0054	0.0000	0.0610	0.0000	-8.4814	9.2285	-145.6403	35.85	-134	-193	-141
0x50	 16:41:04.867	 2021-03-01 16:41:04.995	-0.1646	-0.1489	1.0054	0.0000	0.0610	0.0000	-8.4814	9.2285	-145.6348	35.85	-135	-194	-140
0x50	 16:41:04.867	 2021-03-01 16:41:05.000	-0.1646	-0.1489	1.0054	0.0000	0.0610	0.0000	-8.4760	9.2285	-145.6348	35.85	-134	-194	-140
0x50	 16:41:04.867	 2021-03-01 16:41:05.005	-0.1655	-0.1479	1.0054	-0.1831	0.3052	-0.5493	-8.4760	9.2285	-145.6293	35.86	-134	-195	-141
0x50	 16:41:04.868	 2021-03-01 16:41:05.010	-0.1655	-0.1479	1.0054	-0.1831	0.3052	-0.5493	-8.4814	9.2285	-145.6293	35.86	-133	-194	-141
0x50	 16:41:04.868	 2021-03-01 16:41:05.015	-0.1655	-0.1479	1.0054	-0.1831	0.3052	-0.5493	-8.4814	9.2285	-145.6348	35.86	-132	-193	-141
0x50	 16:41:04.869	 2021-03-01 16:41:05.020	-0.1655	-0.1479	1.0054	-0.1831	0.3052	-0.5493	-8.4814	9.2340	-145.6348	35.86	-132	-193	-141
0x50	 16:41:04.874	 2021-03-01 16:41:05.025	-0.1631	-0.1504	1.0034	-0.0610	0.1221	-0.4272	-8.4814	9.2340	-145.6348	35.86	-131	-193	-142
0x50	 16:41:04.879	 2021-03-01 16:41:05.030	-0.1631	-0.1504	1.0034	-0.0610	0.1221	-0.4272	-8.4814	9.2340	-145.6348	35.86	-131	-193	-142
0x50	 16:41:04.884	 2021-03-01 16:41:05.035	-0.1631	-0.1504	1.0034	-0.0610	0.1221	-0.4272	-8.4869	9.2340	-145.6348	35.86	-132	-193	-142
0x50	 16:41:04.889	 2021-03-01 16:41:05.040	-0.1631	-0.1504	1.0034	-0.0610	0.1221	-0.4272	-8.4869	9.2340	-145.6348	35.86	-131	-193	-142
0x50	 16:41:04.894	 2021-03-01 16:41:05.045	-0.1646	-0.1484	1.0039	0.0000	0.0000	0.0000	-8.4869	9.2340	-145.6403	35.86	-131	-193	-142
0x50	 16:41:04.899	 2021-03-01 16:41:05.050	-0.1646	-0.1484	1.0039	0.0000	0.0000	0.0000	-8.4869	9.2340	-145.6403	35.86	-131	-194	-141
0x50	 16:41:04.904	 2021-03-01 16:41:05.055	-0.1646	-0.1484	1.0039	0.0000	0.0000	0.0000	-8.4869	9.2340	-145.6348	35.86	-132	-194	-141
0x50	 16:41:04.909	 2021-03-01 16:41:05.060	-0.1646	-0.1484	1.0039	0.0000	0.0000	0.0000	-8.4869	9.2340	-145.6348	35.86	-132	-194	-142
0x50	 16:41:04.914	 2021-03-01 16:41:05.065	-0.1650	-0.1489	1.0049	0.0610	0.0000	0.0000	-8.4869	9.2340	-145.6348	35.87	-132	-194	-143
0x50	 16:41:04.919	 2021-03-01 16:41:05.070	-0.1650	-0.1489	1.0049	0.0610	0.0000	0.0000	-8.4869	9.2340	-145.6293	35.87	-131	-194	-142
0x50	 16:41:04.924	 2021-03-01 16:41:05.075	-0.1650	-0.1489	1.0049	0.0610	0.0000	0.0000	-8.4814	9.2340	-145.6293	35.87	-131	-194	-142
0x50	 16:41:04.929	 2021-03-01 16:41:05.080	-0.1650	-0.1489	1.0049	0.0610	0.0000	0.0000	-8.4814	9.2340	-145.6293	35.87	-131	-195	-142
0x50	 16:41:04.934	 2021-03-01 16:41:05.085	-0.1655	-0.1489	1.0049	0.0000	0.0610	-0.1221	-8.4814	9.2340	-145.6293	35.84	-131	-196	-142
0x50	 16:41:04.939	 2021-03-01 16:41:05.090	-0.1655	-0.1489	1.0049	0.0000	0.0610	-0.1221	-8.4814	9.2340	-145.6293	35.84	-130	-195	-141
0x50	 16:41:04.944	 2021-03-01 16:41:05.095	-0.1655	-0.1489	1.0049	0.0000	0.0610	-0.1221	-8.4814	9.2340	-145.6293	35.84	-130	-195	-140
0x50	 16:41:04.949	 2021-03-01 16:41:05.100	-0.1655	-0.1489	1.0049	0.0000	0.0610	-0.1221	-8.4814	9.2340	-145.6293	35.84	-130	-194	-140
0x50	 16:41:04.954	 2021-03-01 16:41:05.105	-0.1650	-0.1509	1.0039	-0.0610	0.1221	-0.1831	-8.4814	9.2340	-145.6293	35.86	-131	-194	-141
0x50	 16:41:04.959	 2021-03-01 16:41:05.110	-0.1650	-0.1509	1.0039	-0.0610	0.1221	-0.1831	-8.4814	9.2340	-145.6293	35.86	-130	-194	-141
0x50	 16:41:04.964	 2021-03-01 16:41:05.115	-0.1650	-0.1509	1.0039	-0.0610	0.1221	-0.1831	-8.4814	9.2340	-145.6348	35.86	-130	-195	-141
0x50	 16:41:04.968	 2021-03-01 16:41:05.120	-0.1650	-0.1509	1.0039	-0.0610	0.1221	-0.1831	-8.4869	9.2340	-145.6348	35.86	-130	-196	-141
0x50	 16:41:04.973	 2021-03-01 16:41:05.125	-0.1655	-0.1509	1.0034	0.0000	0.0000	0.0000	-8.4869	9.2340	-145.6348	35.85	-130	-195	-141
0x50	 16:41:04.978	 2021-03-01 16:41:05.130	-0.1655	-0.1509	1.0034	0.0000	0.0000	0.0000	-8.4869	9.2340	-145.6348	35.85	-131	-195	-141
0x50	 16:41:04.983	 2021-03-01 16:41:05.135	-0.1655	-0.1509	1.0034	0.0000	0.0000	0.0000	-8.4869	9.2340	-145.6348	35.85	-130	-195	-142
0x50	 16:41:04.988	 2021-03-01 16:41:05.140	-0.1655	-0.1509	1.0034	0.0000	0.0000	0.0000	-8.4869	9.2340	-145.6348	35.85	-130	-195	-143
