StartTime: 2021-03-01 17:10:20.560
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 17:10:20.560	 2021-03-01 17:10:20.084	-0.1572	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.67	-132	-203	-140
0x50	 17:10:20.560	 2021-03-01 17:10:20.089	-0.1572	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.67	-132	-201	-140
0x50	 17:10:20.560	 2021-03-01 17:10:20.094	-0.1572	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.67	-132	-200	-141
0x50	 17:10:20.562	 2021-03-01 17:10:20.099	-0.1572	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.67	-133	-200	-140
0x50	 17:10:20.567	 2021-03-01 17:10:20.104	-0.1567	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.70	-133	-199	-140
0x50	 17:10:20.572	 2021-03-01 17:10:20.109	-0.1567	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.70	-133	-200	-140
0x50	 17:10:20.577	 2021-03-01 17:10:20.114	-0.1567	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.70	-134	-200	-140
0x50	 17:10:20.582	 2021-03-01 17:10:20.119	-0.1567	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.70	-133	-200	-140
0x50	 17:10:20.587	 2021-03-01 17:10:20.124	-0.1563	-0.1436	1.0068	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.71	-133	-200	-140
0x50	 17:10:20.592	 2021-03-01 17:10:20.129	-0.1563	-0.1436	1.0068	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.71	-132	-199	-139
0x50	 17:10:20.597	 2021-03-01 17:10:20.134	-0.1563	-0.1436	1.0068	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.71	-131	-199	-139
0x50	 17:10:20.603	 2021-03-01 17:10:20.139	-0.1563	-0.1436	1.0068	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.71	-131	-199	-139
0x50	 17:10:20.607	 2021-03-01 17:10:20.144	-0.1558	-0.1436	1.0088	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.71	-131	-200	-139
0x50	 17:10:20.612	 2021-03-01 17:10:20.149	-0.1558	-0.1436	1.0088	0.0000	0.0000	0.0000	-8.1244	8.8495	-145.8160	35.71	-131	-200	-138
0x50	 17:10:20.617	 2021-03-01 17:10:20.154	-0.1558	-0.1436	1.0088	0.0000	0.0000	0.0000	-8.1244	8.8440	-145.8215	35.71	-131	-201	-137
0x50	 17:10:20.622	 2021-03-01 17:10:20.159	-0.1558	-0.1436	1.0088	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8215	35.71	-131	-201	-137
0x50	 17:10:20.627	 2021-03-01 17:10:20.164	-0.1572	-0.1426	1.0054	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8215	35.67	-132	-200	-137
0x50	 17:10:20.632	 2021-03-01 17:10:20.169	-0.1572	-0.1426	1.0054	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8215	35.67	-131	-200	-137
0x50	 17:10:20.637	 2021-03-01 17:10:20.174	-0.1572	-0.1426	1.0054	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8215	35.67	-131	-199	-138
0x50	 17:10:20.642	 2021-03-01 17:10:20.179	-0.1572	-0.1426	1.0054	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8215	35.67	-130	-199	-138
0x50	 17:10:20.646	 2021-03-01 17:10:20.184	-0.1587	-0.1421	1.0054	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8270	35.67	-130	-199	-137
0x50	 17:10:20.651	 2021-03-01 17:10:20.189	-0.1587	-0.1421	1.0054	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8270	35.67	-131	-198	-137
0x50	 17:10:20.657	 2021-03-01 17:10:20.194	-0.1587	-0.1421	1.0054	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8270	35.67	-131	-198	-137
0x50	 17:10:20.661	 2021-03-01 17:10:20.199	-0.1587	-0.1421	1.0054	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8270	35.67	-131	-198	-137
0x50	 17:10:20.667	 2021-03-01 17:10:20.204	-0.1597	-0.1421	1.0049	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8270	35.67	-130	-198	-137
0x50	 17:10:20.672	 2021-03-01 17:10:20.209	-0.1597	-0.1421	1.0049	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8270	35.67	-130	-199	-137
0x50	 17:10:20.717	 2021-03-01 17:10:20.214	-0.1597	-0.1421	1.0049	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8270	35.67	-130	-199	-138
0x50	 17:10:20.718	 2021-03-01 17:10:20.219	-0.1597	-0.1421	1.0049	0.0000	0.0000	0.0000	-8.1189	8.8440	-145.8270	35.67	-130	-200	-138
0x50	 17:10:20.718	 2021-03-01 17:10:20.224	-0.1587	-0.1421	1.0088	-0.1221	0.1831	0.0000	-8.1189	8.8440	-145.8270	35.74	-131	-200	-138
0x50	 17:10:20.718	 2021-03-01 17:10:20.229	-0.1587	-0.1421	1.0088	-0.1221	0.1831	0.0000	-8.1189	8.8495	-145.8270	35.74	-131	-200	-138
0x50	 17:10:20.719	 2021-03-01 17:10:20.234	-0.1587	-0.1421	1.0088	-0.1221	0.1831	0.0000	-8.1189	8.8495	-145.8270	35.74	-132	-200	-139
