StartTime: 2021-08-30 17:22:21.033
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
COM13	 17:29:58.491	0.0078	0.9771	-0.0205	0.0000	0.0000	0.0000	91.2689	-0.5603	131.4459	33.2000	278	-220	254	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:29:58.491	0.0078	0.9771	-0.0205	0.0000	0.0000	0.0000	91.2689	-0.5603	131.4459	33.2000	278	-220	254	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM4	 17:29:58.492	0.0024	0.9668	-0.0083	0.0000	0.0000	0.0000	90.3900	0.0110	126.6833	32.4400	292	-148	231	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:29:58.492	0.0078	0.9771	-0.0205	0.0000	0.0000	0.0000	91.2689	-0.5603	131.4459	33.2000	277	-223	257	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:29:58.493	0.0137	0.9565	-0.0454	0.0000	0.0000	0.0000	92.7356	-0.6647	120.0146	32.6900	279	-159	182	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:29:58.493	-0.0044	0.9561	-0.0459	0.0000	0.0000	0.0000	92.9224	0.2966	122.7063	34.3300	284	16	186	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:29:58.495	0.0078	0.9771	-0.0205	0.0000	0.0000	0.0000	91.2689	-0.5603	131.4459	33.2000	277	-223	257	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:29:58.495	0.0137	0.9565	-0.0454	0.0000	0.0000	0.0000	92.7356	-0.6647	120.0146	32.6900	280	-159	182	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:29:58.498	0.0103	0.9810	-0.0225	0.0000	0.0000	0.0000	91.2689	-0.5603	131.4459	33.3900	278	-222	257	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:29:58.498	0.0103	0.9810	-0.0225	0.0000	0.0000	0.0000	91.2689	-0.5603	131.4459	33.3900	278	-222	257	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:29:58.498	-0.0044	0.9561	-0.0459	0.0000	0.0000	0.0000	92.9224	0.2966	122.7063	34.3300	284	16	186	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM4	 17:29:58.499	0.0010	0.9702	-0.0054	0.0000	0.0000	0.0000	90.3900	0.0110	126.6833	32.5000	293	-146	228	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:29:58.502	0.0073	0.9785	-0.0239	0.0000	0.0000	0.0000	91.2689	-0.5603	131.4459	33.3900	278	-222	257	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM12	 17:29:58.502	0.0063	0.9673	-0.0488	0.0000	0.0000	0.0000	93.0048	-0.2142	122.1790	33.4500	310	-66	205	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
