StartTime: 2021-03-01 17:19:20.685
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 17:19:20.685	 2021-03-01 17:19:20.662	-0.1582	-0.1431	1.0068	0.0000	0.0000	0.0000	-8.0804	8.8220	-146.1456	35.82	-132	-203	-136
0x50	 17:19:20.739	 2021-03-01 17:19:20.712	-0.1563	-0.1426	1.0073	0.0000	0.0610	-0.0610	-8.0859	8.8220	-146.1511	35.78	-132	-201	-133
0x50	 17:19:20.785	 2021-03-01 17:19:20.762	-0.1582	-0.1431	1.0054	-0.1831	0.1831	0.0000	-8.0914	8.8275	-146.1511	35.79	-132	-202	-135
0x50	 17:19:20.835	 2021-03-01 17:19:20.812	-0.1592	-0.1426	1.0059	0.0610	0.0000	0.0000	-8.0914	8.8275	-146.1456	35.81	-131	-201	-136
0x50	 17:19:20.884	 2021-03-01 17:19:20.862	-0.1592	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8330	-146.1401	35.79	-132	-199	-134
0x50	 17:19:20.934	 2021-03-01 17:19:20.912	-0.1577	-0.1445	1.0068	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1401	35.80	-131	-202	-134
0x50	 17:19:20.984	 2021-03-01 17:19:20.962	-0.1582	-0.1440	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1511	35.78	-130	-199	-134
0x50	 17:19:21.034	 2021-03-01 17:19:21.012	-0.1587	-0.1421	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1621	35.78	-128	-202	-136
0x50	 17:19:21.129	 2021-03-01 17:19:21.062	-0.1572	-0.1421	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1731	35.80	-132	-200	-133
0x50	 17:19:21.133	 2021-03-01 17:19:21.112	-0.1577	-0.1436	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1786	35.80	-129	-199	-132
0x50	 17:19:21.182	 2021-03-01 17:19:21.162	-0.1582	-0.1436	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1841	35.81	-128	-201	-137
0x50	 17:19:21.232	 2021-03-01 17:19:21.212	-0.1592	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1951	35.80	-129	-199	-139
0x50	 17:19:21.319	 2021-03-01 17:19:21.262	-0.1592	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.2006	35.77	-129	-201	-139
0x50	 17:19:21.331	 2021-03-01 17:19:21.312	-0.1572	-0.1431	1.0078	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.2061	35.76	-129	-199	-137
0x50	 17:19:21.382	 2021-03-01 17:19:21.362	-0.1563	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.2115	35.78	-131	-199	-137
0x50	 17:19:21.432	 2021-03-01 17:19:21.412	-0.1587	-0.1421	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8275	-146.2006	35.77	-131	-200	-136
0x50	 17:19:21.482	 2021-03-01 17:19:21.462	-0.1582	-0.1426	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1951	35.79	-134	-203	-133
0x50	 17:19:21.560	 2021-03-01 17:19:21.512	-0.1563	-0.1450	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1951	35.78	-132	-203	-135
0x50	 17:19:21.581	 2021-03-01 17:19:21.562	-0.1577	-0.1436	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8275	-146.2006	35.77	-131	-200	-133
0x50	 17:19:21.631	 2021-03-01 17:19:21.612	-0.1592	-0.1431	1.0054	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1951	35.80	-132	-200	-134
0x50	 17:19:21.681	 2021-03-01 17:19:21.662	-0.1577	-0.1436	1.0078	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1951	35.80	-131	-200	-134
0x50	 17:19:21.759	 2021-03-01 17:19:21.712	-0.1572	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0969	8.8330	-146.1731	35.80	-133	-198	-136
0x50	 17:19:21.780	 2021-03-01 17:19:21.762	-0.1577	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0914	8.8275	-146.1566	35.78	-132	-200	-133
0x50	 17:19:21.830	 2021-03-01 17:19:21.812	-0.1587	-0.1416	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8275	-146.1566	35.74	-132	-202	-133
0x50	 17:19:21.880	 2021-03-01 17:19:21.862	-0.1577	-0.1431	1.0054	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1621	35.79	-131	-202	-133
0x50	 17:19:21.951	 2021-03-01 17:19:21.912	-0.1577	-0.1440	1.0068	0.0000	0.0000	0.0000	-8.0914	8.8330	-146.1566	35.81	-134	-201	-138
0x50	 17:19:21.979	 2021-03-01 17:19:21.962	-0.1572	-0.1431	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8275	-146.1456	35.81	-133	-200	-137
0x50	 17:19:22.029	 2021-03-01 17:19:22.012	-0.1587	-0.1440	1.0068	0.3662	-0.3662	0.0610	-8.0804	8.8165	-146.1346	35.78	-132	-199	-136
0x50	 17:19:22.079	 2021-03-01 17:19:22.062	-0.1592	-0.1431	1.0063	-0.0610	0.0610	0.0610	-8.0750	8.8165	-146.1072	35.77	-133	-202	-135
0x50	 17:19:22.139	 2021-03-01 17:19:22.112	-0.1567	-0.1426	1.0068	0.0000	0.0610	0.0000	-8.0750	8.8165	-146.1072	35.76	-132	-201	-136
0x50	 17:19:22.179	 2021-03-01 17:19:22.162	-0.1597	-0.1440	1.0063	0.0610	0.0000	0.0000	-8.0750	8.8165	-146.0962	35.76	-132	-199	-136
0x50	 17:19:22.228	 2021-03-01 17:19:22.212	-0.1611	-0.1431	1.0049	0.0000	0.0000	0.0000	-8.0750	8.8220	-146.0962	35.76	-131	-199	-134
0x50	 17:19:22.278	 2021-03-01 17:19:22.262	-0.1577	-0.1445	1.0063	0.0610	0.0000	0.0000	-8.0750	8.8220	-146.0962	35.78	-132	-200	-133
0x50	 17:19:22.328	 2021-03-01 17:19:22.312	-0.1548	-0.1445	1.0073	0.0000	0.0000	0.0000	-8.0750	8.8220	-146.0852	35.77	-132	-198	-134
0x50	 17:19:22.389	 2021-03-01 17:19:22.362	-0.1572	-0.1392	1.0063	0.0610	0.0000	0.0000	-8.0750	8.8165	-146.0687	35.77	-134	-199	-137
0x50	 17:19:22.428	 2021-03-01 17:19:22.412	-0.1592	-0.1377	1.0068	0.0000	0.0000	0.0000	-8.0640	8.8165	-146.0577	35.82	-132	-200	-139
0x50	 17:19:22.477	 2021-03-01 17:19:22.462	-0.1553	-0.1440	1.0059	0.0000	0.0000	0.0000	-8.0640	8.8165	-146.0577	35.74	-131	-200	-138
0x50	 17:19:22.526	 2021-03-01 17:19:22.512	-0.1567	-0.1450	1.0078	0.0000	0.0000	0.0000	-8.0695	8.8110	-146.0632	35.80	-133	-202	-135
