StartTime: 2021-03-01 17:17:25.636
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 17:17:25.636	 2021-03-01 17:17:25.610	-0.1587	-0.1445	1.0063	0.0000	0.0000	0.0000	-8.0750	8.8110	-145.7666	35.83	-131	-201	-137
0x50	 17:17:25.686	 2021-03-01 17:17:25.660	-0.1582	-0.1440	1.0068	-0.1221	0.1221	0.0000	-8.0804	8.8165	-145.7776	35.78	-131	-197	-137
0x50	 17:17:25.739	 2021-03-01 17:17:25.710	-0.1577	-0.1431	1.0078	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7776	35.77	-133	-198	-136
0x50	 17:17:25.785	 2021-03-01 17:17:25.760	-0.1572	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0804	8.8165	-145.7611	35.82	-133	-196	-137
0x50	 17:17:25.835	 2021-03-01 17:17:25.810	-0.1577	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0804	8.8165	-145.7501	35.78	-133	-200	-136
0x50	 17:17:25.885	 2021-03-01 17:17:25.860	-0.1577	-0.1426	1.0063	0.0000	0.0000	0.0000	-8.0804	8.8165	-145.7556	35.78	-132	-201	-136
0x50	 17:17:25.935	 2021-03-01 17:17:25.910	-0.1572	-0.1445	1.0068	0.0000	0.0610	0.0000	-8.0804	8.8165	-145.7611	35.78	-133	-200	-137
0x50	 17:17:25.985	 2021-03-01 17:17:25.960	-0.1582	-0.1426	1.0054	0.0000	0.0000	0.0000	-8.0804	8.8165	-145.7666	35.78	-134	-200	-134
0x50	 17:17:26.034	 2021-03-01 17:17:26.010	-0.1582	-0.1431	1.0068	0.0000	0.0000	0.0000	-8.0804	8.8165	-145.7666	35.80	-135	-202	-136
0x50	 17:17:26.084	 2021-03-01 17:17:26.060	-0.1572	-0.1436	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7776	35.81	-132	-200	-137
0x50	 17:17:26.169	 2021-03-01 17:17:26.110	-0.1577	-0.1426	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7776	35.78	-133	-200	-136
0x50	 17:17:26.184	 2021-03-01 17:17:26.160	-0.1577	-0.1431	1.0063	0.0000	0.0000	0.0000	-8.0804	8.8165	-145.7666	35.76	-135	-200	-136
0x50	 17:17:26.233	 2021-03-01 17:17:26.210	-0.1577	-0.1431	1.0068	0.0000	0.0000	0.0000	-8.0804	8.8165	-145.7611	35.77	-135	-202	-135
0x50	 17:17:26.283	 2021-03-01 17:17:26.260	-0.1587	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0804	8.8165	-145.7501	35.78	-135	-200	-136
0x50	 17:17:26.349	 2021-03-01 17:17:26.310	-0.1572	-0.1440	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7556	35.80	-132	-201	-135
0x50	 17:17:26.383	 2021-03-01 17:17:26.360	-0.1582	-0.1431	1.0054	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7666	35.80	-129	-202	-132
0x50	 17:17:26.432	 2021-03-01 17:17:26.410	-0.1592	-0.1426	1.0073	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7721	35.76	-133	-198	-133
0x50	 17:17:26.482	 2021-03-01 17:17:26.460	-0.1572	-0.1431	1.0073	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7776	35.74	-132	-198	-132
0x50	 17:17:26.532	 2021-03-01 17:17:26.510	-0.1572	-0.1426	1.0054	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7666	35.80	-132	-197	-134
0x50	 17:17:26.596	 2021-03-01 17:17:26.560	-0.1577	-0.1436	1.0054	0.0000	0.0000	0.0000	-8.0804	8.8165	-145.7721	35.77	-133	-202	-136
0x50	 17:17:26.633	 2021-03-01 17:17:26.610	-0.1577	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7776	35.77	-134	-198	-136
0x50	 17:17:26.682	 2021-03-01 17:17:26.660	-0.1582	-0.1436	1.0059	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7666	35.75	-133	-199	-135
0x50	 17:17:26.732	 2021-03-01 17:17:26.710	-0.1582	-0.1431	1.0059	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7721	35.80	-132	-200	-135
0x50	 17:17:26.782	 2021-03-01 17:17:26.760	-0.1582	-0.1421	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7776	35.76	-132	-201	-135
0x50	 17:17:26.831	 2021-03-01 17:17:26.810	-0.1577	-0.1416	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7886	35.78	-130	-200	-135
0x50	 17:17:26.880	 2021-03-01 17:17:26.860	-0.1572	-0.1421	1.0073	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7996	35.80	-132	-200	-135
0x50	 17:17:26.930	 2021-03-01 17:17:26.910	-0.1567	-0.1436	1.0059	0.0000	0.0000	0.0000	-8.0804	8.8165	-145.7941	35.75	-135	-199	-136
0x50	 17:17:26.980	 2021-03-01 17:17:26.960	-0.1597	-0.1431	1.0088	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7886	35.78	-133	-200	-135
0x50	 17:17:27.030	 2021-03-01 17:17:27.010	-0.1582	-0.1445	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7941	35.78	-131	-200	-138
0x50	 17:17:27.080	 2021-03-01 17:17:27.060	-0.1577	-0.1440	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8051	35.77	-132	-200	-134
0x50	 17:17:27.129	 2021-03-01 17:17:27.110	-0.1587	-0.1426	1.0059	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8160	35.77	-131	-201	-133
0x50	 17:17:27.208	 2021-03-01 17:17:27.160	-0.1577	-0.1431	1.0059	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8105	35.76	-134	-198	-135
0x50	 17:17:27.229	 2021-03-01 17:17:27.210	-0.1563	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7996	35.80	-134	-199	-133
0x50	 17:17:27.279	 2021-03-01 17:17:27.260	-0.1572	-0.1426	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7886	35.76	-135	-203	-135
0x50	 17:17:27.328	 2021-03-01 17:17:27.310	-0.1582	-0.1426	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7886	35.82	-134	-202	-135
0x50	 17:17:27.389	 2021-03-01 17:17:27.360	-0.1582	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.7996	35.79	-133	-204	-132
0x50	 17:17:27.428	 2021-03-01 17:17:27.410	-0.1582	-0.1450	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8105	35.81	-131	-202	-135
0x50	 17:17:27.478	 2021-03-01 17:17:27.460	-0.1582	-0.1436	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8105	35.80	-131	-201	-135
0x50	 17:17:27.527	 2021-03-01 17:17:27.510	-0.1587	-0.1431	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8051	35.77	-133	-197	-137
0x50	 17:17:27.577	 2021-03-01 17:17:27.560	-0.1597	-0.1396	1.0073	0.0000	0.0000	0.0000	-8.0859	8.8220	-145.8051	35.77	-130	-198	-134
0x50	 17:17:27.627	 2021-03-01 17:17:27.610	-0.1558	-0.1426	1.0039	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8160	35.79	-131	-199	-134
0x50	 17:17:27.677	 2021-03-01 17:17:27.660	-0.1572	-0.1426	1.0112	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8215	35.77	-134	-201	-136
0x50	 17:17:27.727	 2021-03-01 17:17:27.710	-0.1597	-0.1411	1.0034	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8160	35.81	-132	-201	-136
0x50	 17:17:27.809	 2021-03-01 17:17:27.760	-0.1587	-0.1440	1.0107	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8215	35.79	-132	-201	-137
0x50	 17:17:27.826	 2021-03-01 17:17:27.810	-0.1563	-0.1450	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8270	35.80	-134	-199	-135
0x50	 17:17:27.876	 2021-03-01 17:17:27.860	-0.1582	-0.1431	1.0093	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8325	35.78	-130	-201	-136
0x50	 17:17:27.926	 2021-03-01 17:17:27.910	-0.1582	-0.1431	1.0088	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8490	35.78	-130	-201	-135
0x50	 17:17:28.004	 2021-03-01 17:17:27.960	-0.1572	-0.1436	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8545	35.78	-134	-203	-136
0x50	 17:17:28.026	 2021-03-01 17:17:28.010	-0.1572	-0.1431	1.0083	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8655	35.77	-130	-200	-133
0x50	 17:17:28.076	 2021-03-01 17:17:28.060	-0.1572	-0.1421	1.0044	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8820	35.83	-131	-200	-135
0x50	 17:17:28.125	 2021-03-01 17:17:28.110	-0.1577	-0.1426	1.0059	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8820	35.78	-134	-201	-137
0x50	 17:17:28.182	 2021-03-01 17:17:28.160	-0.1577	-0.1440	1.0059	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8820	35.80	-132	-199	-136
0x50	 17:17:28.224	 2021-03-01 17:17:28.210	-0.1572	-0.1445	1.0049	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8875	35.81	-132	-201	-138
0x50	 17:17:28.274	 2021-03-01 17:17:28.260	-0.1572	-0.1436	1.0068	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8875	35.78	-134	-202	-137
0x50	 17:17:28.324	 2021-03-01 17:17:28.310	-0.1563	-0.1431	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8875	35.75	-132	-201	-136
0x50	 17:17:28.374	 2021-03-01 17:17:28.360	-0.1587	-0.1416	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8820	35.74	-135	-200	-135
0x50	 17:17:28.436	 2021-03-01 17:17:28.410	-0.1572	-0.1426	1.0073	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8710	35.79	-134	-198	-136
0x50	 17:17:28.473	 2021-03-01 17:17:28.460	-0.1577	-0.1440	1.0073	0.0000	0.0000	0.0000	-8.0859	8.8110	-145.8765	35.79	-131	-200	-136
0x50	 17:17:28.523	 2021-03-01 17:17:28.510	-0.1587	-0.1431	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.8984	35.80	-130	-201	-137
0x50	 17:17:28.573	 2021-03-01 17:17:28.560	-0.1582	-0.1440	1.0054	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9039	35.78	-132	-199	-137
0x50	 17:17:28.622	 2021-03-01 17:17:28.610	-0.1572	-0.1440	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9039	35.74	-131	-199	-135
0x50	 17:17:28.672	 2021-03-01 17:17:28.660	-0.1577	-0.1436	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.9094	35.77	-128	-199	-134
0x50	 17:17:28.722	 2021-03-01 17:17:28.710	-0.1582	-0.1426	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9314	35.74	-130	-199	-137
0x50	 17:17:28.798	 2021-03-01 17:17:28.760	-0.1577	-0.1416	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9314	35.76	-133	-201	-137
0x50	 17:17:28.821	 2021-03-01 17:17:28.810	-0.1572	-0.1436	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9479	35.81	-129	-202	-134
0x50	 17:17:28.871	 2021-03-01 17:17:28.860	-0.1582	-0.1431	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9698	35.75	-128	-200	-136
0x50	 17:17:28.921	 2021-03-01 17:17:28.910	-0.1592	-0.1436	1.0059	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9918	35.77	-128	-200	-136
0x50	 17:17:28.978	 2021-03-01 17:17:28.960	-0.1577	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-146.0028	35.80	-131	-199	-133
0x50	 17:17:29.021	 2021-03-01 17:17:29.010	-0.1572	-0.1426	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8165	-146.0028	35.80	-132	-201	-133
0x50	 17:17:29.070	 2021-03-01 17:17:29.060	-0.1577	-0.1416	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-146.0083	35.80	-132	-201	-134
0x50	 17:17:29.120	 2021-03-01 17:17:29.110	-0.1563	-0.1436	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-146.0083	35.75	-131	-200	-136
0x50	 17:17:29.171	 2021-03-01 17:17:29.160	-0.1577	-0.1436	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-146.0138	35.81	-131	-202	-137
0x50	 17:17:29.228	 2021-03-01 17:17:29.210	-0.1582	-0.1421	1.0059	0.0000	0.0000	0.0000	-8.0859	8.8165	-146.0138	35.76	-132	-202	-134
0x50	 17:17:29.270	 2021-03-01 17:17:29.260	-0.1587	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-146.0138	35.81	-132	-200	-133
0x50	 17:17:29.320	 2021-03-01 17:17:29.310	-0.1572	-0.1445	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-146.0083	35.75	-131	-198	-134
0x50	 17:17:29.370	 2021-03-01 17:17:29.360	-0.1577	-0.1440	1.0068	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.9973	35.74	-132	-195	-135
0x50	 17:17:29.420	 2021-03-01 17:17:29.410	-0.1587	-0.1436	1.0073	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.9863	35.78	-132	-197	-136
0x50	 17:17:29.468	 2021-03-01 17:17:29.460	-0.1577	-0.1421	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.9698	35.81	-134	-200	-135
0x50	 17:17:29.518	 2021-03-01 17:17:29.510	-0.1567	-0.1431	1.0068	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.9644	35.80	-135	-200	-133
0x50	 17:17:29.598	 2021-03-01 17:17:29.560	-0.1572	-0.1436	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.9753	35.78	-132	-202	-135
0x50	 17:17:29.618	 2021-03-01 17:17:29.610	-0.1587	-0.1445	1.0054	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.9698	35.78	-136	-201	-135
0x50	 17:17:29.668	 2021-03-01 17:17:29.660	-0.1577	-0.1421	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.9534	35.80	-136	-202	-134
0x50	 17:17:29.717	 2021-03-01 17:17:29.710	-0.1563	-0.1431	1.0073	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.9589	35.74	-133	-203	-134
0x50	 17:17:29.770	 2021-03-01 17:17:29.760	-0.1567	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9644	35.81	-132	-202	-135
0x50	 17:17:29.839	 2021-03-01 17:17:29.810	-0.1577	-0.1421	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9644	35.78	-134	-199	-136
0x50	 17:17:29.867	 2021-03-01 17:17:29.860	-0.1577	-0.1426	1.0073	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9534	35.78	-135	-201	-138
0x50	 17:17:29.916	 2021-03-01 17:17:29.910	-0.1577	-0.1436	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8110	-145.9424	35.77	-133	-200	-137
0x50	 17:17:29.968	 2021-03-01 17:17:29.960	-0.1582	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8110	-145.9314	35.79	-132	-199	-135
0x50	 17:17:30.038	 2021-03-01 17:17:30.010	-0.1582	-0.1431	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9369	35.76	-131	-198	-136
0x50	 17:17:30.066	 2021-03-01 17:17:30.060	-0.1572	-0.1436	1.0054	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9204	35.80	-133	-198	-135
0x50	 17:17:30.115	 2021-03-01 17:17:30.110	-0.1572	-0.1426	1.0059	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9149	35.81	-133	-199	-137
0x50	 17:17:30.165	 2021-03-01 17:17:30.160	-0.1577	-0.1426	1.0068	0.0000	0.0000	0.0000	-8.0859	8.8110	-145.9149	35.80	-132	-201	-132
0x50	 17:17:30.229	 2021-03-01 17:17:30.210	-0.1577	-0.1431	1.0073	0.0000	0.0000	0.0000	-8.0859	8.8110	-145.9204	35.79	-131	-200	-136
0x50	 17:17:30.265	 2021-03-01 17:17:30.260	-0.1592	-0.1440	1.0063	0.0000	0.0000	0.0000	-8.0859	8.8165	-145.9204	35.78	-131	-196	-137
0x50	 17:17:30.315	 2021-03-01 17:17:30.310	-0.1577	-0.1450	1.0059	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.9094	35.80	-132	-200	-138
0x50	 17:17:30.364	 2021-03-01 17:17:30.360	-0.1582	-0.1436	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8929	35.74	-136	-199	-137
0x50	 17:17:30.417	 2021-03-01 17:17:30.410	-0.1582	-0.1431	1.0063	0.0000	0.0000	0.0000	-8.0914	8.8165	-145.8765	35.77	-134	-200	-137
