StartTime: 2021-03-01 17:07:57.540
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 17:07:57.540	 2021-03-01 17:07:57.016	-0.1582	-0.1445	1.0044	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.77	-129	-202	-133
0x50	 17:07:57.540	 2021-03-01 17:07:57.021	-0.1582	-0.1445	1.0044	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.77	-129	-202	-134
0x50	 17:07:57.540	 2021-03-01 17:07:57.026	-0.1582	-0.1445	1.0044	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.77	-130	-202	-135
0x50	 17:07:57.567	 2021-03-01 17:07:57.031	-0.1582	-0.1436	1.0063	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.74	-130	-202	-135
0x50	 17:07:57.567	 2021-03-01 17:07:57.036	-0.1582	-0.1436	1.0063	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.74	-131	-202	-135
0x50	 17:07:57.567	 2021-03-01 17:07:57.041	-0.1582	-0.1436	1.0063	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.74	-131	-202	-135
0x50	 17:07:57.567	 2021-03-01 17:07:57.046	-0.1582	-0.1436	1.0063	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.74	-131	-202	-134
0x50	 17:07:57.567	 2021-03-01 17:07:57.051	-0.1577	-0.1445	1.0078	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.74	-131	-202	-134
0x50	 17:07:57.568	 2021-03-01 17:07:57.056	-0.1577	-0.1445	1.0078	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.74	-131	-202	-133
0x50	 17:07:57.573	 2021-03-01 17:07:57.061	-0.1577	-0.1445	1.0078	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.74	-131	-202	-132
0x50	 17:07:57.578	 2021-03-01 17:07:57.066	-0.1577	-0.1445	1.0078	0.0000	0.0000	0.0000	-8.1299	8.8440	-146.5082	35.74	-131	-202	-132
0x50	 17:07:57.583	 2021-03-01 17:07:57.071	-0.1577	-0.1445	1.0054	-0.2441	0.1831	0.0610	-8.1299	8.8440	-146.5082	35.70	-132	-202	-133
0x50	 17:07:57.588	 2021-03-01 17:07:57.076	-0.1577	-0.1445	1.0054	-0.2441	0.1831	0.0610	-8.1299	8.8440	-146.5082	35.70	-131	-203	-133
0x50	 17:07:57.593	 2021-03-01 17:07:57.081	-0.1577	-0.1445	1.0054	-0.2441	0.1831	0.0610	-8.1299	8.8440	-146.5082	35.70	-131	-204	-133
0x50	 17:07:57.598	 2021-03-01 17:07:57.086	-0.1577	-0.1445	1.0054	-0.2441	0.1831	0.0610	-8.1354	8.8495	-146.5082	35.70	-131	-204	-133
